,MonthlyCharges,TotalCharges,Churn,Age,customer lifetime value,gender_Female,gender_Male,InternetService_DSL,InternetService_Fiber optic,InternetService_No,TechSupport_No,TechSupport_No internet service,TechSupport_Yes,Contract_Month-to-month,Contract_One year,Contract_Two year,PaperlessBilling_No,PaperlessBilling_Yes,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,tenure_group_1 - 12,tenure_group_13 - 24,tenure_group_25 - 36,tenure_group_37 - 48,tenure_group_49 - 60,tenure_group_61 - 72
18,55.2,528.35,1,74,147.14394516374713,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
19,90.05,1862.9,0,76,240.041888804265,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
20,39.65,39.65,1,77,105.69306930693068,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
21,19.8,202.25,0,70,52.779893373952774,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0
22,20.15,20.15,1,74,53.712871287128706,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
23,59.9,3505.1,0,77,159.67250571210965,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
24,59.6,2970.3,0,71,158.87281035795888,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
25,55.3,1530.6,0,79,147.41051028179737,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
26,99.35,4749.15,1,66,264.83244478293983,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
27,30.2,30.2,1,77,80.5026656511805,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
28,90.25,6369.45,0,80,240.57501904036556,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1
29,64.7,1093.1,1,77,172.46763137852247,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
30,96.35,6766.95,0,77,256.8354912414318,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1
31,95.5,181.65,0,72,254.56968773800455,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0
32,66.15,1874.45,0,80,176.33282559025136,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
33,20.2,20.2,0,74,53.84615384615384,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0
34,45.25,45.25,0,68,120.62071591774561,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0
35,99.9,7251.7,0,78,266.2985529322163,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1
36,69.7,316.9,1,75,185.79588728103582,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
37,74.8,3548.3,0,77,199.39070830159935,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
38,106.35,3549.25,1,80,283.4920030464585,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
39,97.85,1105.4,1,75,260.8339680121858,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0
40,49.55,475.7,0,69,132.08301599390705,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0
41,69.2,4872.35,0,74,184.46306169078449,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1
42,20.75,418.25,0,76,55.31226199543031,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0
43,79.85,4861.45,0,69,212.8522467631378,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1
44,76.2,981.45,0,72,203.12261995430313,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
45,84.5,3906.7,0,69,225.24752475247524,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
46,49.25,97.0,0,73,131.28332063975628,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
47,80.65,144.15,1,65,214.98476770754,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
48,79.75,4217.8,0,74,212.58568164508756,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
49,64.15,4254.1,0,65,171.001523229246,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1
50,90.25,3838.75,0,66,240.57501904036556,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
51,99.1,1426.4,1,71,264.1660319878141,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
52,69.5,1752.65,0,65,185.26275704493526,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
53,80.65,633.3,1,69,214.98476770754,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0
54,74.85,4456.35,0,75,199.5239908606245,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
55,95.45,1752.55,1,75,254.43640517897944,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
56,99.65,6311.2,0,68,265.63214013709063,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
57,108.45,7076.35,0,71,289.0898705255141,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
58,24.95,894.3,0,80,66.5079969535415,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0
59,107.5,7853.7,0,66,286.55750190403654,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1
60,100.5,4707.1,0,73,267.8979436405179,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
61,89.9,5450.7,0,77,239.64204112718963,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0
62,42.1,2962.0,0,76,112.22391469916222,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1
63,54.4,957.1,0,65,145.011424219345,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
64,94.4,857.25,1,75,251.63747143945164,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
65,75.3,244.1,0,75,200.72353389185068,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
66,78.9,3650.35,0,68,210.31987814166033,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
67,79.2,2497.2,0,71,211.1195734958111,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
68,20.15,930.9,0,74,53.712871287128706,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0
69,79.85,887.35,0,77,212.8522467631378,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0
70,49.05,49.05,0,73,130.75019040365572,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
71,20.4,1090.65,0,68,54.379284082254365,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
72,111.6,7099.0,0,74,297.48667174409746,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1
73,24.25,1424.6,0,65,64.64204112718964,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1
74,64.5,177.4,0,73,171.93450114242194,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0
75,110.5,6139.5,0,74,294.55445544554453,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
76,55.65,2688.85,0,80,148.34348819497333,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
77,54.65,482.25,0,76,145.67783701447067,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
78,74.75,2111.3,0,73,199.25742574257424,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
79,25.9,1216.6,0,70,69.04036557501902,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
80,79.35,79.35,1,75,211.51942117288652,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
81,50.55,565.35,0,74,134.74866717440975,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
82,75.15,496.9,1,76,200.32368621477534,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0
83,103.8,4327.5,0,75,276.69459253617663,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
84,20.15,973.35,0,74,53.712871287128706,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
85,99.3,918.75,0,73,264.6991622239147,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0
86,62.15,2215.45,0,69,165.67022086824068,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0
87,20.65,1057.0,0,75,55.04569687738004,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0
88,19.95,927.1,0,65,53.179741051028174,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
89,33.75,1009.25,0,77,89.96572734196496,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
90,82.05,2570.2,0,67,218.7166793602437,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
91,74.7,74.7,0,78,199.1241431835491,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
92,84.0,5714.25,0,65,223.9146991622239,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
93,111.05,7107.0,0,74,296.020563594821,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1
94,100.9,7459.05,0,70,268.96420411271896,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1
95,78.95,927.35,1,69,210.45316070068546,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
96,66.85,4748.7,0,76,178.19878141660317,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
97,21.05,113.85,1,71,56.11195734958111,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
98,21.0,1107.2,0,76,55.97867479055598,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0
99,98.5,2514.5,1,77,262.56664127951257,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
100,20.2,20.2,0,74,53.84615384615384,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
101,19.45,19.45,0,77,51.84691546077684,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
102,95.0,3605.6,0,76,253.23686214775321,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0
103,45.55,3027.25,0,77,121.4204112718964,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1
104,110.0,7611.85,1,80,293.2216298552932,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1
105,24.3,100.2,0,68,64.77532368621478,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
106,104.15,7303.05,0,79,277.6275704493526,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
107,30.15,927.65,0,65,80.36938309215536,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
108,94.35,3921.3,0,68,251.50418888042648,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0
109,19.4,1363.25,0,72,51.7136329017517,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1
110,96.75,5238.9,1,66,257.9017517136329,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
111,57.95,3042.25,0,68,154.4744859101295,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0
112,91.65,3954.1,0,69,244.3069306930693,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
113,76.5,2868.15,1,76,203.9223153084539,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
114,54.6,3423.5,0,70,145.54455445544554,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
115,89.85,248.4,0,71,239.50875856816447,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
116,31.05,1126.35,0,75,82.76846915460776,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0
117,100.25,1064.65,1,67,267.23153084539223,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
118,20.65,835.15,0,65,55.04569687738004,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
119,85.2,2151.6,0,80,227.1134805788271,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
120,99.8,5515.45,0,71,266.031987814166,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
121,20.7,112.75,0,70,55.17897943640518,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
122,74.4,229.55,1,73,198.32444782939834,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
123,50.7,350.35,0,78,135.14851485148515,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
124,20.85,62.9,0,76,55.578827113480585,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
125,88.95,3027.65,0,73,237.1096725057121,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
126,78.05,2135.5,1,68,208.05407463823303,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
127,23.55,1723.95,0,79,62.77608530083778,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1
128,19.75,19.75,0,67,52.64661081492765,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
129,56.45,3985.35,0,69,150.47600913937546,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
130,85.95,1215.65,0,72,229.1127189642041,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
131,58.6,1502.65,1,75,156.2071591774562,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
132,50.55,3260.1,0,67,134.74866717440975,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1
133,35.45,35.45,1,72,94.4973343488195,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
134,44.35,81.25,1,68,118.22162985529322,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
135,25.7,1188.2,0,68,68.5072353389185,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0
136,75.0,1778.5,0,75,199.9238385376999,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
137,20.2,1277.75,0,74,53.84615384615384,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
138,19.6,1170.55,0,78,52.24676313785225,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
139,70.45,70.45,1,66,187.7951256664128,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0
140,88.05,6425.65,0,73,234.7105864432597,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1
141,71.15,563.65,1,79,189.66108149276465,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
142,101.05,5971.25,0,69,269.36405178979436,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1
143,84.3,5289.05,0,65,224.71439451637468,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
144,23.95,1756.2,0,68,63.84234577303883,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1
145,99.05,6416.7,0,79,264.03274942878903,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1
146,19.6,61.35,0,80,52.24676313785225,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0
147,45.65,45.65,1,77,121.68697638994666,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
148,64.5,1929.95,0,65,171.93450114242194,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0
149,69.5,1071.4,0,66,185.26275704493526,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
150,68.55,564.35,0,75,182.73038842345773,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
151,95.0,655.5,1,74,253.23686214775321,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
152,108.15,7930.55,0,80,288.2901751713633,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
153,86.1,5215.25,0,74,229.51256664127948,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
154,19.7,113.5,0,70,52.513328255902515,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
155,80.9,1152.8,0,76,215.65118050266565,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
156,84.15,1821.95,0,72,224.3145468392993,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
157,20.15,419.9,0,66,53.712871287128706,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0
158,64.25,1024.0,0,75,171.26808834729627,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0
159,25.7,251.6,0,65,68.5072353389185,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0
160,56.0,764.55,0,79,149.27646610814926,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
161,82.4,1592.35,1,73,219.64965727341965,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
162,69.7,135.2,0,79,185.79588728103582,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
163,73.9,3958.25,0,70,196.991622239147,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
164,20.6,233.9,0,71,54.91241431835491,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0
165,19.9,1363.45,0,69,53.04645849200304,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
166,70.9,273.0,1,70,188.994668697639,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0
167,89.05,6254.45,0,71,237.37623762376236,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1
168,45.3,2651.2,1,67,120.75399847677073,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
169,20.4,321.4,0,67,54.379284082254365,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
170,84.25,3539.25,0,69,224.58111195734955,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
171,104.4,242.8,1,75,278.2939832444783,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
172,81.95,1181.75,0,67,218.45011424219345,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0
173,94.85,5000.2,1,66,252.83701447067781,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0
174,20.55,654.55,0,67,54.77913175932977,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
175,24.7,780.2,0,71,65.84158415841584,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
176,74.45,1145.7,1,74,198.45773038842347,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
177,76.45,503.6,1,70,203.78903274942877,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0
178,105.35,1559.25,0,76,280.82635186595576,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
179,20.55,1252.0,0,67,54.77913175932977,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
180,29.95,29.95,1,80,79.83625285605483,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0
181,45.3,45.3,0,67,120.75399847677073,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0
182,84.5,662.65,1,68,225.24752475247524,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0
183,74.75,2453.3,0,69,199.25742574257424,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0
184,79.25,1111.65,1,80,211.25285605483623,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
185,24.8,24.8,1,73,66.10814927646611,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
186,51.8,1023.85,0,73,138.08073115003805,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0
187,30.4,82.15,0,65,81.03579588728103,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
188,19.65,244.8,0,73,52.380045696877374,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0
189,56.6,2379.1,0,78,150.87585681645086,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
190,71.9,3173.35,0,68,191.66031987814165,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
191,91.0,531.0,1,65,242.57425742574256,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
192,19.75,1375.4,0,67,52.64661081492765,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1
193,109.7,8129.3,0,70,292.4219345011424,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1
194,19.3,1192.7,0,69,51.44706778370145,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0
